PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT,TOV,PLUS_MINUS
2544,LeBron James,LAL,55,35.526,28.909,8.309,6.818,0.909,0.582,0.498,0.289,0.735,3.236,3.891
2617,Udonis Haslem,MIA,7,10.303,3.857,1.571,0.0,0.143,0.286,0.147,0.061,0.214,0.143,-3.571
2738,Andre Iguodala,GSW,8,14.07,2.125,2.125,2.375,0.5,0.375,0.479,0.062,0.083,1.125,4.375
101108,Chris Paul,PHX,59,32.011,13.881,4.254,8.881,1.542,0.373,0.438,0.323,0.598,1.932,1.424
200752,Rudy Gay,UTA,56,14.564,5.232,2.911,1.018,0.339,0.321,0.375,0.213,0.33,0.661,1.018
200768,Kyle Lowry,MIA,55,31.231,11.182,4.091,5.109,1.036,0.382,0.409,0.34,0.599,1.873,1.0
200782,P.J. Tucker,PHI,75,25.601,3.547,3.933,0.8,0.52,0.2,0.395,0.312,0.113,0.587,1.8
201142,Kevin Durant,BKN,39,35.962,29.692,6.718,5.308,0.821,1.462,0.561,0.348,0.916,3.487,4.846
201142,Kevin Durant,PHX,8,33.654,26.0,6.375,3.5,0.25,1.25,0.579,0.537,0.843,2.5,8.625
201143,Al Horford,BOS,63,30.498,9.778,6.19,3.0,0.476,0.968,0.477,0.457,0.138,0.587,4.905
201144,Mike Conley,MIN,24,31.358,14.042,3.125,5.0,1.208,0.167,0.444,0.397,0.637,1.208,1.333
201144,Mike Conley,UTA,43,29.662,10.721,2.488,7.674,1.023,0.233,0.401,0.318,0.571,1.721,0.651
201145,Jeff Green,DEN,56,19.484,7.804,2.571,1.232,0.321,0.304,0.512,0.221,0.507,0.821,-3.446
201152,Thaddeus Young,TOR,54,14.731,4.444,3.074,1.389,1.0,0.093,0.486,0.062,0.144,0.778,-1.704
201565,Derrick Rose,NYK,27,12.514,5.63,1.481,1.704,0.259,0.185,0.364,0.269,0.204,0.815,-1.074
201566,Russell Westbrook,LAC,21,30.215,15.81,4.857,7.619,1.095,0.476,0.477,0.334,0.572,3.381,1.095
201566,Russell Westbrook,LAL,52,28.679,15.904,6.173,7.519,1.019,0.442,0.413,0.253,0.589,3.538,-0.846
201567,Kevin Love,CLE,41,20.021,8.463,6.829,1.854,0.171,0.171,0.37,0.309,0.48,1.146,2.024
201567,Kevin Love,MIA,21,19.934,7.714,5.667,1.905,0.429,0.238,0.369,0.292,0.393,1.095,1.238
201569,Eric Gordon,HOU,47,30.179,13.085,2.064,2.894,0.638,0.362,0.424,0.323,0.628,1.766,-4.426
201569,Eric Gordon,LAC,22,24.868,10.955,1.682,2.136,0.591,0.364,0.446,0.412,0.523,0.955,-0.091
201572,Brook Lopez,MIL,78,30.416,15.885,6.667,1.269,0.474,2.474,0.521,0.337,0.593,1.372,5.103
201577,Robin Lopez,CLE,37,8.068,3.027,1.378,0.514,0.054,0.216,0.481,0.054,0.16,0.676,-1.568
201580,JaVale McGee,DAL,42,8.441,4.429,2.548,0.262,0.095,0.619,0.618,0.032,0.272,0.857,-1.357
201586,Serge Ibaka,MIL,16,11.585,4.125,2.75,0.25,0.125,0.438,0.462,0.208,0.15,0.688,-1.562
201587,Nicolas Batum,LAC,78,21.918,6.128,3.833,1.551,0.692,0.564,0.381,0.345,0.233,0.641,2.115
201588,George Hill,IND,11,15.115,5.182,1.636,1.909,0.636,0.273,0.332,0.28,0.333,0.636,2.091
201588,George Hill,MIL,35,19.058,5.0,1.914,2.543,0.543,0.086,0.42,0.274,0.348,0.771,0.514
201599,DeAndre Jordan,DEN,39,15.022,5.103,5.179,0.872,0.308,0.59,0.732,0.026,0.244,1.231,-3.051
201609,Goran Dragic,CHI,51,15.433,6.392,1.353,2.725,0.216,0.078,0.378,0.279,0.245,1.098,0.608
201609,Goran Dragic,MIL,7,11.846,5.571,1.714,1.714,0.286,0.0,0.221,0.214,0.286,1.0,-3.714
201933,Blake Griffin,BOS,41,13.875,4.146,3.78,1.488,0.341,0.22,0.367,0.212,0.134,0.537,2.561
201935,James Harden,PHI,58,36.81,20.966,6.103,10.655,1.224,0.534,0.444,0.367,0.869,3.362,4.776
201937,Ricky Rubio,CLE,33,17.151,5.182,2.121,3.485,0.788,0.182,0.352,0.217,0.335,0.939,1.364
201939,Stephen Curry,GSW,56,34.663,29.429,6.089,6.286,0.929,0.357,0.493,0.427,0.839,3.196,4.786
201942,DeMar DeRozan,CHI,74,36.238,24.541,4.635,5.095,1.122,0.486,0.498,0.2,0.877,2.068,0.905
201949,James Johnson,IND,18,9.02,2.833,1.667,0.833,0.389,0.333,0.291,0.111,0.069,0.444,-0.389
201950,Jrue Holiday,MIL,67,32.575,19.254,5.09,7.388,1.179,0.373,0.473,0.367,0.626,2.94,7.179
201959,Taj Gibson,WAS,49,9.805,3.429,1.898,0.694,0.306,0.245,0.41,0.064,0.283,0.531,-0.082
201976,Patrick Beverley,CHI,22,27.518,5.773,4.864,3.455,1.045,0.727,0.4,0.25,0.13,0.818,0.455
201976,Patrick Beverley,LAL,45,26.914,6.4,3.111,2.622,0.889,0.556,0.408,0.335,0.35,0.933,-2.0
201980,Danny Green,CLE,8,11.903,6.5,1.25,0.5,0.625,0.375,0.467,0.399,0.125,0.875,-1.75
201980,Danny Green,MEM,3,14.499,3.0,1.333,0.667,0.333,0.0,0.217,0.417,0.0,1.0,-1.0
201988,Patty Mills,BKN,40,14.166,6.15,1.1,1.4,0.375,0.075,0.378,0.305,0.239,0.75,-1.65
202066,Garrett Temple,NOP,25,6.473,2.0,0.68,0.52,0.36,0.08,0.357,0.327,0.06,0.16,-0.68
202083,Wesley Matthews,MIL,52,15.777,3.442,2.173,0.654,0.385,0.25,0.339,0.27,0.202,0.346,1.019
202322,John Wall,LAC,34,22.198,11.353,2.706,5.235,0.794,0.353,0.402,0.312,0.495,2.353,-3.118
202330,Gordon Hayward,CHA,50,31.538,14.66,4.3,4.12,0.84,0.24,0.473,0.316,0.687,1.98,-2.16
202331,Paul George,LAC,56,34.623,23.786,6.107,5.143,1.482,0.357,0.451,0.359,0.736,3.143,2.804
202397,Ish Smith,DEN,43,9.254,2.512,1.256,2.326,0.186,0.163,0.277,0.035,0.023,1.023,-0.837
202681,Kyrie Irving,BKN,40,36.949,27.1,5.1,5.275,1.025,0.825,0.485,0.36,0.83,2.275,3.15
202681,Kyrie Irving,DAL,20,38.131,26.95,5.0,6.0,1.25,0.6,0.508,0.388,0.952,1.85,4.8
202685,Jonas Valančiūnas,NOP,79,24.914,14.114,10.177,1.772,0.253,0.658,0.539,0.25,0.607,2.013,-0.127
202687,Bismack Biyombo,PHX,61,14.329,4.311,4.262,0.918,0.295,1.443,0.498,0.0,0.197,0.836,0.787
202689,Kemba Walker,DAL,9,15.989,8.0,1.778,2.111,0.222,0.222,0.42,0.164,0.441,0.444,-0.111
202691,Klay Thompson,GSW,69,33.028,21.87,4.145,2.362,0.71,0.42,0.429,0.393,0.572,1.783,2.362
202692,Alec Burks,DET,51,22.009,12.784,3.098,2.235,0.745,0.157,0.432,0.389,0.652,1.137,-0.137
