"PLAYER_ID","PLAYER_NAME","TEAM_ABBREVIATION","GP","MIN","PTS","REB","AST","STL","BLK","FG_PCT","FG3_PCT","FT_PCT","TOV","PLUS_MINUS","SEASON"
2544,"LeBron James","LAL",45,33.416,25.022,7.689,7.778,1.067,0.556,0.51,0.347,0.694,3.733,6.378,"2020-21"
2546,"Carmelo Anthony","POR",69,24.495,13.391,3.101,1.507,0.667,0.551,0.413,0.386,0.583,0.884,-0.348,"2020-21"
2730,"Dwight Howard","PHI",69,17.327,6.986,8.406,0.884,0.435,0.899,0.536,0.048,0.476,1.623,-0.957,"2020-21"
2738,"Andre Iguodala","MIA",63,21.252,4.365,3.508,2.254,0.905,0.556,0.378,0.268,0.161,1.063,-1.302,"2020-21"
2772,"Trevor Ariza","MIA",30,28.032,9.4,4.8,1.833,1.033,0.6,0.375,0.303,0.5,0.7,1.333,"2020-21"
101108,"Chris Paul","PHX",70,31.422,16.414,4.457,8.886,1.414,0.271,0.494,0.356,0.696,2.229,4.429,"2020-21"
101150,"Lou Williams","ATL",24,21.047,9.958,2.083,3.375,0.333,0.083,0.373,0.363,0.621,1.75,-0.25,"2020-21"
101150,"Lou Williams","LAC",42,21.852,12.143,2.095,3.429,0.929,0.095,0.394,0.365,0.596,1.571,1.976,"2020-21"
200746,"LaMarcus Aldridge","SAS",21,25.913,13.714,4.476,1.714,0.381,0.857,0.431,0.343,0.524,0.952,-2.762,"2020-21"
200752,"Rudy Gay","SAS",63,21.55,11.365,4.81,1.397,0.714,0.635,0.409,0.366,0.512,1.032,2.063,"2020-21"
200755,"JJ Redick","NOP",31,18.599,8.71,1.677,1.29,0.29,0.065,0.388,0.343,0.581,0.806,-1,"2020-21"
200765,"Rajon Rondo","ATL",27,14.876,3.926,2.037,3.519,0.704,0.074,0.411,0.274,0.019,1.444,-1.815,"2020-21"
200768,"Kyle Lowry","TOR",46,34.815,17.196,5.37,7.348,0.978,0.304,0.449,0.394,0.716,2.739,-0.13,"2020-21"
200782,"P.J. Tucker","HOU",32,29.966,4.406,4.625,1.406,0.906,0.562,0.302,0.238,0.297,1.031,-5.156,"2020-21"
200782,"P.J. Tucker","MIL",20,19.835,2.6,2.8,0.8,0.5,0.1,0.329,0.308,0.075,0.35,-0.7,"2020-21"
200794,"Paul Millsap","DEN",56,20.754,8.964,4.679,1.75,0.911,0.643,0.475,0.27,0.433,0.911,1.821,"2020-21"
201142,"Kevin Durant","BKN",35,33.051,26.943,7.057,5.571,0.714,1.286,0.569,0.486,0.853,3.429,7.971,"2020-21"
201143,"Al Horford","OKC",28,27.92,14.214,6.714,3.357,0.893,0.929,0.446,0.36,0.321,1.036,-3.607,"2020-21"
